date,time_slot,price_per_kwh,demand_charge,total_cost_per_kwh,time_of_use_category
2025-01-01,00:00-06:00,7.91,2.37,10.28,off-peak
2025-01-01,06:00-09:00,10.7,3.21,13.91,off-peak
2025-01-01,09:00-12:00,12.91,3.87,16.78,peak
2025-01-01,12:00-18:00,9.69,2.91,12.6,off-peak
2025-01-01,18:00-22:00,13.92,4.18,18.1,peak
2025-01-01,22:00-24:00,8.23,2.47,10.7,off-peak
2025-01-02,00:00-06:00,7.54,2.26,9.8,off-peak
2025-01-02,06:00-09:00,10.46,3.14,13.59,off-peak
2025-01-02,09:00-12:00,12.42,3.73,16.15,peak
2025-01-02,12:00-18:00,10.32,3.1,13.42,off-peak
2025-01-02,18:00-22:00,14.39,4.32,18.71,peak
2025-01-02,22:00-24:00,8.35,2.51,10.86,off-peak
2025-01-03,00:00-06:00,8.21,2.46,10.67,off-peak
2025-01-03,06:00-09:00,10.58,3.17,13.75,off-peak
2025-01-03,09:00-12:00,12.77,3.83,16.6,peak
2025-01-03,12:00-18:00,9.65,2.89,12.54,off-peak
2025-01-03,18:00-22:00,14.31,4.29,18.61,peak
2025-01-03,22:00-24:00,8.6,2.58,11.18,off-peak
2025-01-04,00:00-06:00,8.27,2.48,10.75,off-peak
2025-01-04,06:00-09:00,10.42,3.13,13.55,off-peak
2025-01-04,09:00-12:00,12.01,3.6,15.61,peak
2025-01-04,12:00-18:00,10.42,3.13,13.54,off-peak
2025-01-04,18:00-22:00,14.23,4.27,18.5,peak
2025-01-04,22:00-24:00,8.69,2.61,11.3,off-peak
2025-01-05,00:00-06:00,7.97,2.39,10.37,off-peak
2025-01-05,06:00-09:00,10.04,3.01,13.06,off-peak
2025-01-05,09:00-12:00,12.14,3.64,15.78,peak
2025-01-05,12:00-18:00,9.94,2.98,12.92,off-peak
2025-01-05,18:00-22:00,14.29,4.29,18.58,peak
2025-01-05,22:00-24:00,8.89,2.67,11.56,off-peak
2025-01-06,00:00-06:00,7.96,2.39,10.35,off-peak
2025-01-06,06:00-09:00,10.99,3.3,14.29,off-peak
2025-01-06,09:00-12:00,12.98,3.89,16.87,peak
2025-01-06,12:00-18:00,9.86,2.96,12.82,off-peak
2025-01-06,18:00-22:00,13.56,4.07,17.63,peak
2025-01-06,22:00-24:00,8.49,2.55,11.04,off-peak
2025-01-07,00:00-06:00,8.48,2.54,11.02,off-peak
2025-01-07,06:00-09:00,10.37,3.11,13.48,off-peak
2025-01-07,09:00-12:00,12.35,3.71,16.06,peak
