timestamp,day_of_week,hour_of_day,is_weekend,is_peak_hour,station_id,energy_demanded_kwh,charging_duration_minutes,wait_time_minutes,user_satisfaction
2025-10-16T21:00:00,3,21,0,1,18,79.11,30,20,4.499156599952144
2025-08-05T21:58:00,1,21,0,1,27,49.84,117,40,3.8296390046753306
2025-11-07T05:27:00,4,5,0,0,17,47.4,152,37,4.826331504515286
2025-01-23T04:52:00,3,4,0,0,37,63.0,102,16,3.4821696646592635
2025-01-01T18:44:00,2,18,0,1,13,24.51,132,39,4.236256480915792
2025-12-14T07:38:00,6,7,1,0,26,44.87,137,2,4.040327002223987
2025-09-25T00:53:00,3,0,0,0,44,49.27,76,16,3.2680304569012817
2025-10-30T22:14:00,3,22,0,1,37,53.42,85,10,3.4259283230178212
2025-07-11T01:37:00,4,1,0,0,50,51.29,49,14,3.874949844047458
2025-11-04T05:32:00,1,5,0,0,24,73.73,49,54,4.047204552030022
2025-03-22T04:28:00,5,4,1,0,4,42.15,164,9,4.537835482630795
2025-12-06T23:04:00,5,23,1,0,34,53.46,145,42,4.159299868943477
2025-04-21T22:54:00,0,22,0,1,16,20.63,137,15,4.28174948960643
2025-12-26T03:55:00,4,3,0,0,25,72.78,174,28,4.946220698540209
2025-03-02T18:18:00,6,18,1,1,21,21.83,111,41,3.3540209685534936
2025-11-22T00:04:00,5,0,1,0,41,34.92,65,33,3.2574967965992876
2025-08-06T12:26:00,2,12,0,1,9,16.46,66,56,4.375569434192166
2025-02-25T10:47:00,1,10,0,1,17,29.38,20,7,4.4965193807673165
2025-09-10T19:14:00,2,19,0,1,47,35.93,33,25,4.5199108178751715
2025-03-19T23:01:00,2,23,0,0,45,14.36,75,50,4.426699171769105
2025-04-21T22:45:00,0,22,0,1,43,47.25,37,57,3.708293341586251
2025-01-15T22:36:00,2,22,0,1,28,11.4,36,38,3.1784086574241126
2025-05-06T11:24:00,1,11,0,1,17,34.0,44,3,3.7102086065586093
2025-08-21T12:17:00,3,12,0,1,47,50.89,53,46,4.49087894836866
2025-08-24T18:41:00,6,18,1,1,41,33.62,45,33,3.488706310929309
2025-11-11T12:05:00,1,12,0,1,37,75.36,169,20,3.305718278368664
2025-04-22T03:29:00,1,3,0,0,11,16.15,113,30,3.1113069787139507
2025-05-17T22:02:00,5,22,1,1,31,38.73,55,23,3.2240778043361047
2025-11-18T19:27:00,1,19,0,1,11,70.59,153,53,3.5158056540898794
2025-03-03T01:14:00,0,1,0,0,11,50.01,63,4,3.3740874971150467
