timestamp,hour_of_day,day_of_week,month,grid_load_percentage,frequency_hz,voltage_kv,renewable_percentage,temperature_celsius
2025-01-01T00:00:00,0,2,1,25.05,49.978,225.9,20.57,33.3
2025-01-01T01:00:00,1,2,1,24.82,49.918,219.3,32.74,29.5
2025-01-01T02:00:00,2,2,1,34.02,50.069,225.3,24.24,32.7
2025-01-01T03:00:00,3,2,1,35.61,49.919,216.1,25.85,32.3
2025-01-01T04:00:00,4,2,1,40.97,50.069,219.5,27.39,28.9
2025-01-01T05:00:00,5,2,1,35.76,49.99,215.7,30.81,21.6
2025-01-01T06:00:00,6,2,1,52.69,50.173,225.2,25.83,26.1
2025-01-01T07:00:00,7,2,1,62.52,49.974,217.5,22.29,32.8
2025-01-01T08:00:00,8,2,1,52.75,49.834,215.4,20.32,34.7
2025-01-01T09:00:00,9,2,1,68.04,50.02,216.8,29.06,35.6
2025-01-01T10:00:00,10,2,1,75.26,50.16,217.2,15.17,20.0
2025-01-01T11:00:00,11,2,1,73.24,50.016,223.2,26.48,27.5
2025-01-01T12:00:00,12,2,1,71.94,50.065,216.1,29.16,34.1
2025-01-01T13:00:00,13,2,1,66.7,50.044,219.1,25.15,25.2
2025-01-01T14:00:00,14,2,1,65.78,50.08,216.3,21.2,35.4
2025-01-01T15:00:00,15,2,1,75.37,49.942,214.8,30.32,29.5
2025-01-01T16:00:00,16,2,1,62.25,50.166,227.9,24.99,34.9
2025-01-01T17:00:00,17,2,1,66.87,50.017,213.1,28.39,38.4
2025-01-01T18:00:00,18,2,1,84.99,49.964,214.9,31.06,20.9
2025-01-01T19:00:00,19,2,1,67.74,50.138,220.9,30.95,22.4
2025-01-01T20:00:00,20,2,1,68.66,49.869,228.6,25.2,39.6
2025-01-01T21:00:00,21,2,1,75.97,49.937,216.8,29.1,26.3
2025-01-01T22:00:00,22,2,1,77.38,49.946,223.7,19.13,38.8
2025-01-01T23:00:00,23,2,1,30.94,50.102,215.8,31.83,22.5
2025-01-02T00:00:00,0,3,1,35.77,49.932,227.4,24.12,38.7
2025-01-02T01:00:00,1,3,1,42.23,49.952,221.1,30.7,25.5
2025-01-02T02:00:00,2,3,1,34.02,50.01,221.2,29.42,29.9
2025-01-02T03:00:00,3,3,1,42.75,50.087,224.3,19.33,27.1
2025-01-02T04:00:00,4,3,1,35.46,49.894,211.0,16.38,38.6
2025-01-02T05:00:00,5,3,1,32.67,49.838,224.9,21.95,27.9
2025-01-02T06:00:00,6,3,1,57.26,50.059,217.8,32.42,37.9
2025-01-02T07:00:00,7,3,1,64.1,50.063,221.6,29.94,22.9
2025-01-02T08:00:00,8,3,1,47.95,49.989,225.9,20.82,30.8
2025-01-02T09:00:00,9,3,1,71.87,50.074,218.5,18.1,23.5
2025-01-02T10:00:00,10,3,1,76.46,49.956,220.6,30.34,22.3
2025-01-02T11:00:00,11,3,1,68.82,49.983,221.7,30.85,35.9
2025-01-02T12:00:00,12,3,1,78.38,49.797,214.1,22.16,37.0
2025-01-02T13:00:00,13,3,1,69.07,50.059,217.0,19.07,34.0
2025-01-02T14:00:00,14,3,1,61.93,49.981,223.7,20.9,30.2
2025-01-02T15:00:00,15,3,1,71.71,50.02,219.5,24.36,28.0
2025-01-02T16:00:00,16,3,1,63.67,50.103,225.3,17.6,27.8
2025-01-02T17:00:00,17,3,1,68.15,49.844,220.0,18.76,25.7
2025-01-02T18:00:00,18,3,1,66.75,49.962,215.9,24.93,34.7
2025-01-02T19:00:00,19,3,1,71.39,49.984,224.0,31.26,23.7
2025-01-02T20:00:00,20,3,1,78.41,49.902,218.7,21.44,24.7
2025-01-02T21:00:00,21,3,1,67.67,50.035,214.6,16.12,34.1
2025-01-02T22:00:00,22,3,1,73.51,50.075,228.5,28.32,30.9
2025-01-02T23:00:00,23,3,1,26.87,50.097,223.0,34.8,27.9
2025-01-03T00:00:00,0,4,1,25.94,50.124,228.3,29.58,34.1
2025-01-03T01:00:00,1,4,1,38.28,50.068,224.0,25.92,29.4
2025-01-03T02:00:00,2,4,1,39.85,50.092,221.8,25.52,27.6
2025-01-03T03:00:00,3,4,1,25.3,49.996,223.8,17.78,23.9
2025-01-03T04:00:00,4,4,1,33.7,49.955,214.7,31.72,35.3
2025-01-03T05:00:00,5,4,1,28.77,49.705,219.0,22.56,20.3
2025-01-03T06:00:00,6,4,1,58.87,50.046,222.4,17.29,26.3
2025-01-03T07:00:00,7,4,1,63.46,49.828,219.4,23.04,25.6
2025-01-03T08:00:00,8,4,1,53.04,50.136,213.6,31.03,32.9
2025-01-03T09:00:00,9,4,1,70.69,49.927,227.6,31.79,28.3
2025-01-03T10:00:00,10,4,1,75.22,49.868,215.6,28.25,36.2
2025-01-03T11:00:00,11,4,1,74.41,50.126,216.5,26.72,25.5
2025-01-03T12:00:00,12,4,1,77.24,49.984,217.5,16.51,37.5
2025-01-03T13:00:00,13,4,1,57.93,49.924,221.7,30.31,32.6
2025-01-03T14:00:00,14,4,1,60.04,50.033,211.7,18.82,34.7
2025-01-03T15:00:00,15,4,1,60.54,50.141,216.0,30.49,38.1
2025-01-03T16:00:00,16,4,1,55.63,49.984,220.3,26.18,24.8
2025-01-03T17:00:00,17,4,1,60.49,50.1,224.4,19.61,34.2
2025-01-03T18:00:00,18,4,1,78.42,49.849,219.1,15.55,37.2
2025-01-03T19:00:00,19,4,1,69.35,50.098,220.5,24.36,26.3
2025-01-03T20:00:00,20,4,1,67.78,49.944,218.3,20.84,32.6
2025-01-03T21:00:00,21,4,1,78.26,49.97,218.0,23.6,23.7
2025-01-03T22:00:00,22,4,1,79.33,49.895,224.3,24.89,35.4
2025-01-03T23:00:00,23,4,1,28.13,49.924,223.1,33.86,36.0
2025-01-04T00:00:00,0,5,1,47.39,50.135,219.7,24.57,32.6
2025-01-04T01:00:00,1,5,1,41.46,50.016,215.9,19.48,22.3
2025-01-04T02:00:00,2,5,1,32.79,50.118,210.6,15.62,28.8
2025-01-04T03:00:00,3,5,1,35.13,50.082,224.0,33.44,36.8
2025-01-04T04:00:00,4,5,1,35.23,50.031,219.8,17.28,20.5
2025-01-04T05:00:00,5,5,1,38.12,50.157,225.3,15.32,39.0
2025-01-04T06:00:00,6,5,1,71.18,50.084,210.8,33.01,20.1
2025-01-04T07:00:00,7,5,1,63.22,49.926,226.6,18.8,28.7
2025-01-04T08:00:00,8,5,1,61.69,49.972,222.1,31.72,36.5
2025-01-04T09:00:00,9,5,1,76.76,50.087,220.9,16.18,25.7
2025-01-04T10:00:00,10,5,1,73.22,49.973,224.3,28.02,37.8
2025-01-04T11:00:00,11,5,1,81.66,50.009,221.2,16.7,33.5
2025-01-04T12:00:00,12,5,1,71.42,50.009,215.7,30.46,26.9
2025-01-04T13:00:00,13,5,1,56.06,50.15,220.0,33.73,30.8
2025-01-04T14:00:00,14,5,1,55.53,50.012,229.9,18.78,22.2
2025-01-04T15:00:00,15,5,1,59.7,49.977,222.1,21.6,30.5
